conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,True,0.051023,4,I^|??KF@w,20,connected,maximum_degree,4,triangle_number,14,<=,10.0,10,19,0.4222222222222222,3,4,3.8
980,True,0.024631,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.025689,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.028049,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.105872,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.294427,0.549340548341,K~~~~~~~~|v~,301,connected,clique_number,10,minimum_degree,10,<=,9.450659451659458,12,64,0.9696969696969697,10,11,10.666666666666666
1466,True,0.669805,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,domination_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
1566,True,0.058903,1,KAQJ@?AC???D,25,connected,total_domination_number,8,independence_number,6,>=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1587,True,0.037646,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.027823,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.044002,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.028902,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,0.035043,1,KAQJ@?AC???D,25,connected,independence_number,6,total_domination_number,8,<=,7.0,12,11,0.16666666666666666,1,3,1.8333333333333333
1880,True,0.676528,2,MsaCC@?OA?G?O?O??,17,connected,vertex_cover_number,2,independent_domination_number,7,<=,5.0,14,13,0.14285714285714285,1,7,1.8571428571428572
1891,True,0.032075,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,True,0.690965,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,matching_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2051,True,0.028029,0.5,MsaCC@?OA?G?O?O??,17,connected,independent_domination_number,7,vertex_cover_number,2,>=,2.5,14,13,0.14285714285714285,1,7,1.8571428571428572
2117,True,0.023477,1.77242857143,MsaCC@?OA?G?O?O??,17,connected,matching_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
2120,True,0.029356,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.030742,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.037715,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,0.030339,1.77242857143,MsaCC@?OA?G?O?O??,10,"connected,tree",vertex_cover_number,2,independent_domination_number,7,<=,5.2275714285714265,14,13,0.14285714285714285,1,7,1.8571428571428572
4712,True,0.051509,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,0.613027,1,[IsBHLWWkMCMaLb?_??@lVy???sOEHaGA?G_CLcO_?Mp?[S@qBa@?WH[R?C?_@By,119,"claw_free,connected",diameter,3,independence_number,6,<=,5.0,28,109,0.28835978835978837,5,10,7.785714285714286
5994,True,0.644846,0.486714285714,KJYJbOAC???D,25,"claw_free,connected",radius,4,domination_number,4,<=,3.513285714285722,12,17,0.25757575757575757,1,5,2.8333333333333335
5996,True,0.564566,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.485122,0.486714285714,KAQJ`?aC???D,25,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,12,13,0.19696969696969696,1,4,2.1666666666666665
6000,True,1.382921,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,True,3.804149,0.238095238095,MpF?GE_?G?w_?@??_,14,"claw_free,connected",maximum_degree,5,average_degree,2.4285714285714284,>=,2.666666666666667,14,17,0.18681318681318682,1,5,2.4285714285714284
6180,True,4.739836,0.040404040404,Jh_GM?@?KO?,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.2222222222222223,11,12,0.21818181818181817,1,4,2.1818181818181817
6181,True,4.315588,0.040404040404,Jh_GKO@?M??,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.222222222222222,11,12,0.21818181818181817,1,4,2.1818181818181817
6182,True,3.500724,0.0130851370851,O{?GI?@?G?c?G@??_?Go?,146,"claw_free,connected",maximum_degree,4,average_degree,2.125,>=,2.138085137085137,16,17,0.14166666666666666,1,4,2.125
6267,True,3.082935,0.428571428571,MhyGKW@?M??@?@oA?,13,"claw_free,connected",average_degree,3.0,maximum_degree,6,<=,5.571428571428571,14,21,0.23076923076923078,1,6,3.0
6268,True,4.749844,0.368421052632,RjCGGCB?G@_F?@??_?G?@_?C@O?@w?,289,"claw_free,connected",average_degree,2.9473684210526314,maximum_degree,6,<=,5.63157894736842,19,28,0.16374269005847952,2,6,2.9473684210526314
6269,True,3.626381,0.042471042471,MxF_GF??G?wC?@??_,14,"claw_free,connected",average_degree,2.7142857142857144,maximum_degree,5,<=,4.957528957528957,14,19,0.2087912087912088,1,5,2.7142857142857144
6272,True,0.502739,0.6,A_,1,"claw_free,connected",average_degree,1.0,clique_number,2,<=,1.4,2,1,1.0,1,1,1.0
6278,True,4.555422,0.20815945049,PSAOwmoFtGA}DtD|ayyO?Dtw,3767,"claw_free,connected",average_degree,7.0588235294117645,clique_number,10,<=,9.791840549510248,17,60,0.4411764705882353,1,11,7.0588235294117645
6352,True,0.736944,0.333333333333,A_,1,"claw_free,connected",clique_number,2,average_degree,1.0,>=,1.3333333333333335,2,1,1.0,1,1,1.0
6574,True,0.625963,1,VzCGGK@?G@_B?@??_?W?@??K??G??G??C??B???]???_,77,"claw_free,connected",total_domination_number,8,independence_number,10,<=,9.0,23,33,0.13043478260869565,2,4,2.869565217391304
6582,True,0.640603,1,H{D?H?@,28,"claw_free,connected",total_domination_number,6,matching_number,4,>=,5.0,9,9,0.25,1,3,2.0
6903,True,0.486134,1,H{D?H?@,28,"claw_free,connected",matching_number,4,total_domination_number,6,<=,5.0,9,9,0.25,1,3,2.0
688,True,3.495451,0.0427015250545,N~~~~~~~~~~~~~~~`??,2044,connected,density,0.8761904761904762,proximity,0.5185185185185185,>=,0.5612200435729847,15,92,0.8761904761904762,1,14,12.266666666666667
713,True,0.751940,0.015245531519,PN~~y???W@???B?B_@w?^?B{,542,connected,density,0.3161764705882353,remoteness,0.36363636363636365,>=,0.3788818951554019,17,43,0.3161764705882353,2,6,5.0588235294117645
737,True,0.104662,0.00566988414939,K^~y??B?wF_^,21,connected,density,0.4393939393939394,second_smallest_laplace_eigenvalue,0.2412295168563658,>=,0.2468994010057579,12,29,0.4393939393939394,4,5,4.833333333333333
1021,True,0.136580,0.282608695652,m??_E??g??W?cAb?A@?R_R?GAEG?c@CU?O?X????AOk@?OF?`[??OO??@??GC@G???cCC?I_HQ?OG?@?ao?OC?@??c??__?OgO?C?ICC_@__e_??O?A?O?EG?G??CAB??G_??O?A?C?P?CQAS???A??B?FC@AG?OODO???@OB??I_?,97,connected,average_degree,6.434782608695652,triangle_number,32,>=,32.282608695652186,46,148,0.14299516908212562,1,11,6.434782608695652
1337,True,1.082274,0.0222222222222,]???ESP?a?@IPk?SOOhWUW`OOCGG?WAF?QL@p?@O?AF??QO?_BIO_CP?D?G__OQ_w_oC??B?A?,1000,connected,triangle_number,22,average_degree,6.0,<=,5.977777777777778,30,90,0.20689655172413793,3,10,6.0
1591,True,0.111107,0.0428571428571,RhCGGCA?_C?O?_?_?O?C??_?A??C??,97,connected,total_domination_number,4,proximity,0.17142857142857143,>=,0.21428571428571425,19,18,0.10526315789473684,1,13,1.894736842105263
1729,True,0.206107,0.0294736842105,L~~~~{G?G?_@?@,199,connected,independence_number,4,proximity,0.21052631578947367,>=,0.24000000000000002,13,33,0.4230769230769231,1,8,5.076923076923077
1793,True,0.176607,0.000177820542181,U^~~y???WB_N?^?^_C?????G??w?@w?@{??~??E?,149,connected,independence_number,5,second_smallest_laplace_eigenvalue,0.09770914686705683,>=,0.09788696740923813,22,63,0.2727272727272727,2,6,5.7272727272727275
1892,True,0.030352,1,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1917,True,0.128227,0.0332383665717,PsaCCA?_C?O?_??G??G?@??C,125,connected,vertex_cover_number,3,proximity,0.19753086419753085,>=,0.23076923076923075,17,16,0.11764705882352941,1,12,1.8823529411764706
1919,True,0.034553,0.00454545454545,J`Ca?QCG?O?,48,connected,vertex_cover_number,4,proximity,0.2,>=,0.20454545454545453,11,10,0.18181818181818182,1,3,1.8181818181818181
2129,True,0.233931,0.0100233100233,THCGGCA?_C?O?_?_?O?C??_?A??C??C?B???,185,connected,matching_number,4,proximity,0.15151515151515152,>=,0.16153846153846152,21,20,0.09523809523809523,1,14,1.9047619047619047
2131,True,0.189299,0.00765345765346,M`CGGC@?G?_@O?W??,149,connected,matching_number,6,proximity,0.14444444444444443,>=,0.15209790209790208,14,13,0.14285714285714285,1,3,1.8571428571428572
2252,True,0.028404,1.01114851795,Ph_GK?@?K??@?@_???G?@_??,15,connected,randic_index,7.887157869370666,total_domination_number,11,<=,9.988851482053782,17,16,0.11764705882352941,1,6,1.8823529411764706
2882,True,3.507663,0.0833333333333,MhGGGC@?O?_@?@??_,372,connected,second_zagreb_index,54,independent_domination_number,6,<=,5.916666666666667,14,13,0.14285714285714285,1,3,1.8571428571428572
3144,True,0.223632,0.464110127827,TsaCCA?OA?G?O?O?G?A??O??A????G??C??@,244,connected,proximity,0.17699115044247787,total_domination_number,4,>=,4.464110127826942,21,20,0.09523809523809523,1,9,1.9047619047619047
3157,True,0.074420,1.62349206349,WhCGGC@?G?_@?@?@??_?G?@??C??G??G??C??@???G???_?,47,connected,proximity,0.10952380952380952,matching_number,6,>=,7.623492063492065,24,23,0.08333333333333333,1,13,1.9166666666666667
3191,True,0.054523,0.0849673202614,JhCO__OC?_?,84,connected,proximity,0.29411764705882354,vertex_cover_number,2,>=,2.0849673202614376,11,10,0.18181818181818182,1,8,1.8181818181818181
3193,True,0.082361,1.17333333333,OhCGGGC@?G?_@?@??_?G?,88,connected,proximity,0.2,vertex_cover_number,3,>=,4.173333333333334,16,15,0.125,1,11,1.875
3368,True,1.767731,0.130375483843,UhCGGC@?G?_@?@??_?G?@??C??O_????_??OO???,2043,connected,remoteness,0.19090909090909092,matching_number,8,>=,8.130375483842892,22,21,0.09090909090909091,1,5,1.9090909090909092
3384,True,0.387442,0.0626313349325,QhC?GC@?G?_@?@??g???C??_K??,620,connected,remoteness,0.2207792207792208,vertex_cover_number,7,>=,7.062631334932453,18,17,0.1111111111111111,1,4,1.8888888888888888
3550,True,0.099779,9.9549158154,M^~~y???WB_N?^?^_,22,connected,largest_eigenvalue,5.876258043122511,triangle_number,60,<=,50.04508418460117,14,41,0.45054945054945056,5,6,5.857142857142857
3961,True,0.175585,1.120671195,`[IaO}NM`PbkMYoB?|P|d\xE}}ExGEPQ[ISEQgxBEteGOwbqbg{_Vs}Co?Y~?sI^QYDjXGFvC?taef\K_dU?C??A?,139,connected,second_smallest_laplace_eigenvalue,1.9129295529817916,average_degree,13.515151515151516,<=,12.394480320153953,33,223,0.42234848484848486,2,18,13.515151515151516
3979,True,0.161413,0.635302451623,S^~~y???WB_N?^?^_C??@??K??w?@w?@{,239,connected,second_smallest_laplace_eigenvalue,0.11402602465229005,independence_number,4,>=,4.635302451623313,20,57,0.3,5,6,5.7
4288,True,0.047639,0.0132769572933,UsaCCA?_C?O?O?O?G?A??O?@??A??A??@???O???,12,"connected,tree",diameter,3,second_smallest_laplace_eigenvalue,0.15571122977523882,>=,0.16898818706857366,22,21,0.09090909090909091,1,11,1.9090909090909092
5381,True,0.067502,0.478468899522,A_,1,"connected,tree",proximity,1.0,remoteness,1.0,>=,1.4784688995215312,2,1,1.0,1,1,1.0
5421,True,0.089403,0.0195857521746,VhCGGC@?G?_@?@??_?G?@??C??G??O??O??G??A???O?,104,"connected,tree",remoteness,0.18803418803418803,domination_number,6,>=,6.019585752174578,23,22,0.08695652173913043,1,7,1.9130434782608696
5968,True,3.849703,0.0037015503876,KIUJ@?AC???D,25,"claw_free,connected",diameter,7,proximity,0.22916666666666669,>=,0.2328682170542636,12,13,0.19696969696969696,1,4,2.1666666666666665
5983,True,3.921813,0.00552037049986,T^~~y???WB_N?^?^_C?????K??w?@w?@{??~,23,"claw_free,connected",diameter,8,second_smallest_laplace_eigenvalue,0.10517774486401424,>=,0.11069811536387755,21,62,0.29523809523809524,5,6,5.904761904761905
6011,True,7.776782,0.00112721417069,Q{C?I?@?G?c??@??_?GW???w?W?,187,"claw_free,connected",radius,5,remoteness,0.3148148148148148,>=,0.3159420289855073,18,21,0.13725490196078433,1,3,2.3333333333333335
6013,True,5.783601,0.0073850931677,P{CGG?@?G?c??@??_?GK?OO?,173,"claw_free,connected",radius,5,remoteness,0.32,>=,0.32738509316770203,17,18,0.1323529411764706,1,3,2.1176470588235294
6020,True,7.105693,0.00552037049514,T^~~y???WB_N?^?^_C?????K??w?@w?@{??~,23,"claw_free,connected",radius,4,second_smallest_laplace_eigenvalue,0.10517774486401424,>=,0.11069811535914997,21,62,0.29523809523809524,5,6,5.904761904761905
6124,True,8.493559,0.00954594410748,MxF_GE??G?oC_H??_,146,"claw_free,connected",density,0.2087912087912088,remoteness,0.5652173913043479,<=,0.5556714471968709,14,19,0.2087912087912088,1,6,2.7142857142857144
6270,True,6.046031,0.281628858968,P~~Nnzx~|~~n@z~}Gt[KV~\O,15,"claw_free,connected",average_degree,11.764705882352942,maximum_degree,14,<=,13.71837114103215,17,100,0.7352941176470589,7,14,11.764705882352942
6351,True,0.963538,0.598402597403,M~~z~lV?N~Dv?Ljb?,13,"claw_free,connected",clique_number,7,maximum_degree,11,<=,10.401597402597409,14,58,0.6373626373626373,3,11,8.285714285714286
6466,True,5.740489,0.0721345030757,Mzzm^^~Tn~UBbd}Z?,13,"claw_free,connected",triangle_number,136,largest_eigenvalue,9.491795814238895,<=,9.419661311163225,14,64,0.7032967032967034,6,11,9.142857142857142
6472,True,7.378421,0.0897729085451,Mn~]|~`}m||VLX|[_,13,"claw_free,connected",triangle_number,136,largest_eigenvalue,9.55139348387376,<=,9.46162057532868,14,66,0.7252747252747253,7,11,9.428571428571429
6617,True,1.236861,0.00360892792832,T^~~y?@`WB_N?^?^_C?????K??w?@w?@{??~,208,"claw_free,connected",total_domination_number,4,second_smallest_laplace_eigenvalue,0.14863200704834473,>=,0.15224093497666835,21,65,0.30952380952380953,5,8,6.190476190476191
7205,True,5.656664,86.2307692308,ohCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_????@?????@??????_?????G?????@??????C??????G??????G??????C??????@???????G???????_??????@,9,"claw_free,connected",first_zagreb_index,186,second_zagreb_index,184,>=,270.2307692307693,48,47,0.041666666666666664,1,2,1.9583333333333333
7206,True,5.752083,124.8,MxzN[^Nm^\]FL\rz?,13,"claw_free,connected",first_zagreb_index,1102,second_zagreb_index,4991,>=,5115.799999999999,14,61,0.6703296703296703,4,11,8.714285714285714
7212,True,6.330067,16.4444444444,ohCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_????@?????@??????_?????G?????@??????C??????G??????G??????C??????@???????G???????o??????@,10,"claw_free,connected",first_zagreb_index,192,second_zagreb_index,192,>=,208.44444444444446,48,48,0.0425531914893617,2,2,2.0
7213,True,3.619055,0.466666666667,ohCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????C????@?????G?????_????@?????@??????_?????G?????@??????C??????G??????G??????C??????@???????G???????_??????@,9,"claw_free,connected",first_zagreb_index,186,second_zagreb_index,184,>=,184.46666666666658,48,47,0.041666666666666664,1,2,1.9583333333333333
7565,True,3.712404,3.23515655909,LZ~zu}rllxn~lN,79,"claw_free,connected",largest_eigenvalue,9.234350009149724,triangle_number,124,>=,127.23515655909392,13,59,0.7564102564102564,7,11,9.076923076923077
7566,True,2.859276,1.98786425106,M~~^~qrK^~av@DrO_,13,"claw_free,connected",largest_eigenvalue,8.896862348575478,triangle_number,113,>=,114.98786425105627,14,59,0.6483516483516484,4,11,8.428571428571429
7694,True,4.418929,0.00107084122534,HHCGW^?,184,"claw_free,connected",largest_distance_eigenvalue,23.219364222998834,proximity,0.24242424242424243,>=,0.24349508364957795,9,11,0.3055555555555556,1,4,2.4444444444444446
