conjecture_id,found,elapsed_seconds,score,graph6,evaluated,classes,x,x_value,y,y_value,sign,rhs,order,size,density,minimum_degree,maximum_degree,average_degree
886,False,60.005432,1.81898940355e-12,f~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~w,9668,connected,maximum_degree,38,triangle_number,9139,<=,9138.999999999998,39,741,1.0,38,38,38.0
980,True,0.032428,0.625,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.375,2,1,1.0,1,1,1.0
981,True,0.028218,0.333333333333,A_,1,connected,average_degree,1.0,clique_number,2,<=,1.6666666666666667,2,1,1.0,1,1,1.0
1177,True,0.042734,0.333333333333,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.3333333333333333,2,1,1.0,1,1,1.0
1178,True,0.026491,0.2,A_,1,connected,clique_number,2,average_degree,1.0,>=,1.2,2,1,1.0,1,1,1.0
1191,True,0.334903,0.549340548341,K~~v~~~~~~~n,428,connected,clique_number,10,minimum_degree,10,<=,9.450659451659458,12,64,0.9696969696969697,10,11,10.666666666666666
1466,True,0.965710,0.486714285714,P@CO?G?c????OC??_G?dW?O?,68,connected,domination_number,5,independent_domination_number,6,<=,5.513285714285708,17,16,0.11764705882352941,1,5,1.8823529411764706
1566,False,60.014781,0,A_,206525,connected,total_domination_number,2,independence_number,1,>=,1.0,2,1,1.0,1,1,1.0
1587,True,0.091412,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1588,True,0.030873,1,Jh_GK?@?K??,12,connected,total_domination_number,7,matching_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1600,True,0.043725,0.333333333333,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,4.333333333333333,11,10,0.18181818181818182,1,4,1.8181818181818181
1601,True,0.078776,1,Jh_GK?@?K??,12,connected,total_domination_number,7,vertex_cover_number,4,>=,5.0,11,10,0.18181818181818182,1,4,1.8181818181818181
1708,True,14.834909,1,MGI?_?O?O?@@AO@__,67509,connected,independence_number,7,total_domination_number,9,<=,8.0,14,13,0.14285714285714285,1,3,1.8571428571428572
1880,False,60.661377,0,A_,30588,connected,vertex_cover_number,1,independent_domination_number,1,<=,1.0,2,1,1.0,1,1,1.0
1891,True,0.109049,0.5,Jh_GK?@?K??,12,connected,vertex_cover_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2041,False,60.097357,0,A_,37605,connected,independent_domination_number,1,matching_number,1,>=,1.0,2,1,1.0,1,1,1.0
2051,False,60.015002,0,A_,40211,connected,independent_domination_number,1,vertex_cover_number,1,>=,1.0,2,1,1.0,1,1,1.0
2117,True,5.978389,0.486714285714,M?KCGW?OkO?G?AA??,4185,connected,matching_number,5,independent_domination_number,6,<=,5.513285714285708,14,14,0.15384615384615385,1,5,2.0
2120,True,0.032922,0.5,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.5,11,10,0.18181818181818182,1,4,1.8181818181818181
2121,True,0.056589,1,Jh_GK?@?K??,12,connected,matching_number,4,total_domination_number,7,<=,6.0,11,10,0.18181818181818182,1,4,1.8181818181818181
4247,True,0.036590,4,A_,1,"connected,tree",diameter,1,independent_domination_number,1,<=,-3.0,2,1,1.0,1,1,1.0
4668,True,3.630043,0.486714285714,K_T?P?H?G@?_,4068,"connected,tree",vertex_cover_number,5,independent_domination_number,6,<=,5.513285714285708,12,11,0.16666666666666666,1,4,1.8333333333333333
4712,True,0.026667,1,A_,1,"connected,tree",independent_domination_number,1,diameter,1,>=,2.0,2,1,1.0,1,1,1.0
5952,True,0.569690,1,ZxKGGK@?W?_B?@??_?W?@??C??G??W??C??B???G??@_??@???B????o???W,32,"claw_free,connected",diameter,9,independence_number,12,<=,11.0,27,38,0.10826210826210826,2,4,2.814814814814815
5994,True,0.860734,1.48671428571,NxF?GFC???{ow@??_E?,176,"claw_free,connected",radius,4,domination_number,5,<=,3.513285714285722,15,25,0.23809523809523808,1,6,3.3333333333333335
5996,True,0.591854,1.601,MpE_GEc?G?}?K@??_,14,"claw_free,connected",radius,3,total_domination_number,7,<=,5.3990000000000045,14,21,0.23076923076923078,1,6,3.0
5998,True,0.554575,0.486714285714,MjCGGCB?G@_@_B_?_,40,"claw_free,connected",radius,4,independence_number,6,<=,5.513285714285715,14,19,0.2087912087912088,2,4,2.7142857142857144
6000,True,1.211569,0.201,MhoGMO@?KW@`?@qO?,13,"claw_free,connected",radius,3,independent_domination_number,5,<=,4.799000000000008,14,23,0.25274725274725274,1,7,3.2857142857142856
6179,True,4.341937,0.238095238095,MpF?GE_?G?w_?@??_,14,"claw_free,connected",maximum_degree,5,average_degree,2.4285714285714284,>=,2.666666666666667,14,17,0.18681318681318682,1,5,2.4285714285714284
6180,True,3.225790,0.040404040404,Jh_GM?@?KO?,12,"claw_free,connected",maximum_degree,4,average_degree,2.1818181818181817,>=,2.2222222222222223,11,12,0.21818181818181817,1,4,2.1818181818181817
